source ,target
Buah,Petani
Buah,Pantau Harga
Buah,Lima Kilo
Buah,Si Kumis
Bumbu Dapur ,Tani Hub
Bumbu Dapur ,Petani
Bumbu Dapur ,Pantau Harga
Bumbu Dapur ,Lima Kilo
Bumbu Dapur ,Si Kumis
Sayuran,Tani Hub
Sayuran,Petani
Sayuran,Pantau Harga
Sayuran,Lima Kilo
Sayuran,Si Kumis
Pestisida,Tani Hub
Pestisida,Petani
Pestisida,Pantau Harga
Pestisida,Lima Kilo
Pestisida,Target
Benih,Tani Hub
Benih,Petani
Benih,Pantau Harga
Benih,Lima Kilo
Benih,Target
Pupuk,Tani Hub
Pupuk,Pantau Harga
Pupuk,Lima Kilo
Pupuk,Si Kumis
Beras,Tani Hub
Beras,Petani
Beras,Pantau Harga
Beras,Lima Kilo
Beras,Si Kumis
Perlengkapan pertanian,Tani Hub
Perlengkapan pertanian,Petani
Perlengkapan Pertanian,Pantau Harga
Perlengkapan Pertanian,Lima Kilo
Perlengkapan Pertanian,Si Kumis
Pestisida,Tani Hub
Pestisida,Petani
Pestisida,Pantau Harga
Pestisida,Lima Kilo
Pestisida,Si Kumis
Rempah,Tani Hub
Rempah,Petani
Rempah,Pantau Harga
Rempah,Lima Kilo
Rempah,Si Kumis
Telur,Petani
Telur,Pantau Harga
Telur,Lima Kilo
Telur,Si Kumis
